ID,HH_ID,HH_WEIGHT,TOT_VEH,OP_VEH,VEH_NUM,VEH_ID,VEH_OWN,YEAR,MAKE,MODEL,BODY,VEH_TYPE
3139,377606,107.9109446,2,2,2,37760602,1,2004,22,RX330,2,2
3140,377623,230.7343222,1,1,1,37762301,1,2004,6,MALIBU,1,2
3141,377634,294.5936113,5,5,1,37763401,1,1995,6,alumina,1,2
3142,377634,294.5936113,5,5,2,37763402,1,1995,6,impala,1,2
3143,377634,294.5936113,5,5,3,37763403,1,1989,10,f350,3,2
3144,377634,294.5936113,5,5,4,37763404,1,2001,10,f350,3,3
3145,377634,294.5936113,5,5,5,37763405,1,1992,23,town car,1,2
3146,377663,89.26430968,1,1,1,37766301,1,2013,39,COROLLA,1,2
3147,377716,193.2614659,2,2,1,37771601,1,2002,16,I35,1,7
3148,377716,193.2614659,2,2,2,37771602,1,2004,7,SEBRING,1,2
3149,377723,153.8662766,1,1,1,37772301,1,2008,6,IMPALA,1,2
3150,377771,131.9083712,2,2,1,37777101,1,2005,10,EXPEDITION,2,2
3151,377771,131.9083712,2,2,2,37777102,1,2012,10,FOCUS,1,2
3152,377775,90.85645556,2,2,1,37777501,1,1998,37,FORESTER,2,2
3153,377775,90.85645556,2,2,2,37777502,1,9998,98,,3,2
3154,377781,199.7312102,2,2,1,37778101,2,2012,29,SENTRA,1,2
3155,377781,199.7312102,2,2,2,37778102,1,2002,29,PATHFINDER,2,2
3156,377800,331.3965942,2,2,1,37780001,1,2009,39,Corolla,1,2
3157,377800,331.3965942,2,2,2,37780002,1,2009,14,Fit,1,2
3158,377902,194.5444735,2,2,1,37790201,1,2011,27,CLUBMAN,1,2
3159,377902,194.5444735,2,2,2,37790202,1,2006,27,,1,2
3160,378098,217.0427085,2,1,1,37809801,1,1994,10,RANGER,3,2
3161,378146,211.7499,5,4,1,37814601,1,2006,14,CRV,1,2
3162,378146,211.7499,5,4,2,37814602,1,2009,39,YARIS,1,2
3163,378146,211.7499,5,4,3,37814603,1,2008,38,SX4,1,2
3164,378146,211.7499,5,4,4,37814604,1,2007,40,,1,2
3165,378157,86.80231553,1,1,1,37815701,1,2009,24,5,9,2
3166,378199,164.9124211,2,2,1,37819901,1,2010,14,ACCORD,1,2
3167,378199,164.9124211,2,2,2,37819902,1,2004,24,6,1,2
3168,378206,130.2314678,2,2,1,37820601,1,2003,24,6,1,2
3169,378206,130.2314678,2,2,2,37820602,1,2008,24,TRIBUTE,2,2
3170,378265,178.9888425,3,2,1,37826501,1,2008,10,MUSTANG,4,2
3171,378265,178.9888425,3,2,2,37826502,1,2005,39,HIGHLANDER,2,2
3172,378305,108.9402268,1,1,1,37830501,1,2010,1,TSX,1,2
3173,378344,214.0092648,1,1,1,37834401,1,2008,14,ACCORD,1,2
3174,378366,62.7243013,2,2,1,37836601,1,2002,4,,1,2
3175,378366,62.7243013,2,2,2,37836602,1,2002,25,,1,2
3176,378414,466.2165315,2,2,1,37841401,1,2003,39,ECHO,1,2
3177,378414,466.2165315,2,2,2,37841402,1,2007,14,CIVIC,1,2
3178,378519,106.6690005,2,2,1,37851901,1,1996,8,NEON,4,2
3179,378519,106.6690005,2,2,2,37851902,1,2007,39,Yarus,4,2
3180,378574,85.73662982,2,2,1,37857401,1,2005,10,500,1,2
3181,378574,85.73662982,2,2,2,37857402,1,2010,10,EDGE,14,2
3182,378715,67.16272426,1,1,1,37871501,1,1999,14,ACCORD,1,2
3183,378748,139.1904107,2,2,1,37874801,2,2013,10,EDGE,2,2
3184,378748,139.1904107,2,2,2,37874802,1,2006,10,TAURUS,1,2
3185,378815,126.7273401,2,2,1,37881501,1,2010,21,SEDONA,8,2
3186,378815,126.7273401,2,2,2,37881502,1,2008,15,SONATA,1,2
3187,378832,268.0842989,4,4,1,37883201,1,1999,8,DURANGO,2,2
3188,378832,268.0842989,4,4,2,37883202,1,1999,19,WRANGLER,2,2
3189,378832,268.0842989,4,4,3,37883203,1,2001,8,NEON,1,2
3190,378832,268.0842989,4,4,4,37883204,1,1985,8,RAM,3,2
3191,378849,78.85758307,3,3,1,37884901,1,2008,41,S60,1,2
3192,378849,78.85758307,3,3,2,37884902,1,2002,12,YUKON,1,2
3193,378849,78.85758307,3,3,3,37884903,1,1998,1,3.2 TL,1,2
3194,378928,528.198799,2,2,1,37892801,2,2010,29,MURANO,2,2
3195,378928,528.198799,2,2,2,37892802,2,2011,29,CRESSIDA,9,2
3196,379056,69.88592262,1,1,1,37905601,1,2009,15,ELANTRA,1,2
3197,379157,584.0360103,1,1,1,37915701,1,2002,2,A8,7,2
3198,379327,194.2887478,2,2,1,37932701,1,2007,39,COROLLA,1,2
3199,379327,194.2887478,2,2,2,37932702,1,2002,39,CAMRY,1,2
3200,379424,170.33356,1,1,1,37942401,2,2011,37,IMPREZA,6,2
3201,379429,162.5678512,1,1,1,37942901,1,2002,24,626,1,2
3202,379475,99.57390284,2,2,1,37947501,1,2004,24,TRIBUTE,2,2
3203,379475,99.57390284,2,2,2,37947502,1,2008,14,CIVIC,1,1
3204,379516,175.032278,3,3,1,37951601,1,2010,6,MALIBU,1,2
3205,379516,175.032278,3,3,2,37951602,1,2010,6,EQUINOX,2,2
3206,379516,175.032278,3,3,3,37951603,1,2006,15,SANTA FE,2,2
3217,379700,236.7482806,2,2,1,37970001,1,2008,10,exscape,2,2
3218,379700,236.7482806,2,2,2,37970002,1,2011,14,civic,1,2
3219,379705,89.84290632,2,2,1,37970501,1,1999,10,RANGER,3,2
3220,379705,89.84290632,2,2,2,37970502,1,2004,14,CRV,1,2
3221,379746,110.5243081,2,2,1,37974601,1,2011,15,SANTA FE,2,2
3222,379746,110.5243081,2,2,2,37974602,1,2006,37,FORESTER,2,2
3223,379775,150.3820346,1,1,1,37977501,1,2009,14,ACCORD,1,2
3224,379807,107.5259303,1,1,1,37980701,1,2001,25,GRAND MARQUIS,1,2
3225,379831,159.1000433,1,1,1,37983101,1,2008,5,CTS,1,2
3226,379874,82.14014601,2,2,1,37987401,1,2008,14,CIVIC,1,2
3227,379874,82.14014601,2,2,2,37987402,1,2009,25,MARINER,2,2
3228,379916,51.89662555,1,1,1,37991601,1,2003,19,LIBERTY,2,2
3229,380004,269.8869014,1,1,1,38000401,1,1991,6,LUMINA,1,2
3230,380039,88.73397467,2,2,1,38003901,2,2012,1,TL,1,2
3231,380039,88.73397467,2,2,2,38003902,2,2012,3,528I,1,2
3232,380069,93.28561781,2,2,1,38006901,1,2011,14,CRV,2,2
3233,380069,93.28561781,2,2,2,38006902,1,2010,14,ACCORD,1,2
3234,380072,916.4623731,1,1,1,38007201,1,2005,39,COROLLA,1,2
3235,380313,41.61812958,2,2,1,38031301,1,2005,8,CARAVAN,8,2
3236,380313,41.61812958,2,2,2,38031302,1,2002,1,,2,2
3237,380341,210.3458359,2,2,1,38034101,1,2003,39,ECHO,1,2
3238,380341,210.3458359,2,2,2,38034102,1,2010,39,COROLLA,1,2
3239,380360,78.42028711,2,2,1,38036001,1,2011,29,ROGUE,2,2
3240,380360,78.42028711,2,2,2,38036002,1,1995,4,CENTURY,1,2
3241,380458,174.6442601,1,1,1,38045801,1,2008,15,VERACRUZ,2,2
3242,380473,223.7138721,1,1,1,38047301,1,1999,14,CIVIC,1,2
3243,380489,139.7074233,2,2,1,38048901,1,2001,29,,1,2
3244,380489,139.7074233,2,2,2,38048902,2,2010,39,RAV 4,1,2
3245,380668,101.6855954,4,4,1,38066801,1,2003,39,SIENNA,9,2
3246,380668,101.6855954,4,4,2,38066802,1,2011,10,TAURUS,1,2
3247,380668,101.6855954,4,4,3,38066803,1,1992,6,silverado,3,2
3248,380668,101.6855954,4,4,4,38066804,1,2002,6,Silverado,3,2
3249,380756,306.5401387,2,2,1,38075601,1,2008,29,ALTIMA,1,2
3250,380756,306.5401387,2,2,2,38075602,1,2007,10,EXPLORER,2,2
3251,380773,808.0648339,2,2,1,38077301,1,2004,21,SORENTO,2,2
3252,380773,808.0648339,2,2,2,38077302,1,1999,35,93 TURBO,6,2
3253,380809,85.65057604,2,2,1,38080901,1,2004,19,GRAND CHEROKEE,2,2
3254,380809,85.65057604,2,2,2,38080902,1,2009,103,FORTWO BRABUS,1,2
3255,380851,43.55954031,2,2,1,38085101,1,2009,39,CAMRY,1,2
3256,380851,43.55954031,2,2,2,38085102,1,2009,39,CAMRY,1,2
3257,380950,122.4057701,2,2,1,38095001,1,2009,14,CRV,2,2
3258,380950,122.4057701,2,2,2,38095002,1,2009,14,CIVIC,1,2
3259,380959,1086.64255,2,2,1,38095901,1,2000,14,CRV,2,2
3260,380959,1086.64255,2,2,2,38095902,1,2000,29,,1,2
3261,380966,199.7312102,2,2,1,38096601,1,2012,12,DENALI,2,2
3262,380966,199.7312102,2,2,2,38096602,1,2006,5,ESCALADE,2,2
3263,381065,366.8503201,2,2,1,38106501,1,2003,15,ELANTRA,1,2
3264,381065,366.8503201,2,2,2,38106502,1,2006,6,AVEO,1,2
3265,381098,158.048965,1,1,1,38109801,1,2004,15,SANTA FE,2,2
3266,381130,219.6672389,3,3,1,38113001,1,2006,29,ALTIMA,1,2
3267,381130,219.6672389,3,3,2,38113002,1,2004,10,WINDSTAR,8,2
3268,381130,219.6672389,3,3,3,38113003,1,2008,32,G6,1,2
3269,381146,409.2983371,1,1,1,38114601,1,2006,14,ODYSSEY,8,2
3270,381287,89.59971521,3,3,1,38128701,1,2006,39,CAMRY,1,2
3271,381287,89.59971521,3,3,2,38128702,1,2006,24,MIATA,97,2
3272,381287,89.59971521,3,3,3,38128703,1,1998,14,CIVIC,97,2
3273,381326,119.4100622,2,2,1,38132601,1,2003,15,SANTA FE,2,2
3274,381326,119.4100622,2,2,2,38132602,1,2012,29,FRONTIER,3,2
3275,381329,143.6413056,3,3,1,38132901,1,2003,12,,2,2
3276,381329,143.6413056,3,3,2,38132902,1,2006,12,,3,2
3277,381329,143.6413056,3,3,3,38132903,1,2004,39,COROLLA,97,2
3278,381425,448.5484454,3,3,1,38142501,1,2008,39,PRIUS,1,1
3279,381425,448.5484454,3,3,2,38142502,1,2001,40,PASSAT,7,2
3280,381425,448.5484454,3,3,3,38142503,1,1995,10,EXPLORER,2,2
3281,381438,174.2520831,3,3,1,38143801,1,2006,6,SILVERADO,3,2
3282,381438,174.2520831,3,3,2,38143802,1,2004,12,SIERRA,3,2
3283,381438,174.2520831,3,3,3,38143803,1,2001,12,JIMMY,2,2
3284,381471,121.6416772,1,1,1,38147101,1,2005,7,PACIFICA,1,2
3285,381483,92.11534737,2,2,1,38148301,1,2001,8,xPICKUP,3,2
3286,381483,92.11534737,2,2,2,38148302,1,2007,21,SEDONA,8,2
3287,381499,452.0042735,3,3,1,38149901,1,2001,39,CAMRY,1,2
3288,381499,452.0042735,3,3,2,38149902,1,2005,29,ALTIMA,1,2
3289,381499,452.0042735,3,3,3,38149903,1,2007,39,RAV 4,10,2
3290,381505,40.32080434,1,1,1,38150501,1,1997,14,ACCORD,1,2
3291,381508,259.7653962,1,1,1,38150801,1,2007,37,OUTBACK,7,2
3292,381534,170.33356,1,1,1,38153401,1,2005,39,MATRIX,6,2
3293,381649,153.7090146,3,3,1,38164901,2,2004,14,PILOT,2,2
3294,381649,153.7090146,3,3,2,38164902,3,2010,10,ESCAPE,2,1
3295,381649,153.7090146,3,3,3,38164903,1,1994,10,RANGER,3,2
3296,381664,751.6096726,2,2,1,38166401,1,1990,10,EXPLORER,2,2
3297,381664,751.6096726,2,2,2,38166402,1,2003,39,CAMRY,1,2
