"","WHYNO","count","percentage"
"1",1,297,0.100236247046912
"2",2,144,0.0485993925075937
"3",3,19,0.00641241984475194
"4",4,27,0.00911238609517381
"5",5,270,0.0911238609517381
"6",6,189,0.0637867026662167
"7",7,159,0.0536618292271347
"8",8,288,0.0971987850151873
"9",9,33,0.0111373607829902
"10",10,92,0.0310496118798515
"11",11,204,0.0688491393857577
"12",12,1211,0.40870739115761
"13",97,30,0.010124873439082
