ID,HH_ID,PERSON_NUM,PERSON_ID,HH_WEIGHT,P_WEIGHT,P_TOT_TRIPS,P_MO_TRIPS,P_NM_TRIPS,GPS_Factor,F_P_TOT_TRIPS,F_P_MO_TRIPS,F_P_NM_TRIPS,GEND,AGECAT,RACE,EDUCA,RELAT,LIC,EMPLY,WK_STAT,SEMPLY,JOBS,WK_LOC,W_GEO_ACC,W_STATE,W_REGION,W_COUNTY,W_CPA,W_MCD,W_TRACT,W_TAZ,HOURS,OCCUP,WK_MODE,WK_MODETMS,ARRV_WRK,ARRV_TMS,LV_WRK,LV_TMS,TCOMM,PARK_SUB,PARK_SUB_AMT,TRAN_SUB,TRAN_SUB_AMT,WDAY_1,WDAY_2,WDAY_3,WDAY_4,WDAY_5,WDAY_6,WDAY_7,STUDE,SCHOL,S_HOME,S_ONLN,S_GEO_ACC,S_STATE,S_REGION,S_COUNTY,S_CPA,S_MCD,S_TRACT,S_TAZ,PRESCH_1,PRESCH_2,PRESCH_3,T_TRIP,PAY_TYPE1,PAY_TYPE2,PAY_TYPE3,TAP
2439,338277,1,33827701,200.7112297,339.1918261,4,4,0,1.12,4.48,4.48,0,1,8,5,6,0,1,1,,2,1,1,1,42,1,42017,017_511,4201744968,42017105509,16035,40,17,1,10,8,10,8,8,2,3,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2440,338277,2,33827702,200.7112297,186.6427841,2,2,0,1.12,2.24,2.24,0,2,3,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,1,34,1,34005,005_702,3400545120,34005703802,20243,,,,0,,,,
2441,338277,3,33827703,200.7112297,359.9237007,4,4,0,1.12,4.48,4.48,0,2,7,5,6,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2442,338378,1,33837801,203.0774267,201.4054409,3,0,3,1.13,3.39,0,3.39,1,8,1,6,0,1,1,,2,1,1,1,42,1,42101,101_103,4210160000,42101000804,46,45,23,2,8,6,8,7,7,0,2,,2,,1,2,3,4,5,,,3,,,,,,,,,,,,,,,2,1,,,
2443,338378,2,33837802,203.0774267,187.343222,7,7,0,1.13,7.91,7.91,0,2,8,1,6,1,1,1,,2,1,1,1,42,1,42101,101_103,4210160000,42101000100,68,40,11,2,8,6,8,4,10,0,1,1,1,1,1,2,3,4,5,,,3,,,,1,42,1,42101,101_103,4210160000,42101000500,74,,,,0,,,,
2444,338378,3,33837803,203.0774267,183.4271431,2,2,0,1.13,2.26,2.26,0,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,1,42,1,42101,101_117,4210160000,42101038700,2441,,,,2,1,,,
2445,338378,4,33837804,203.0774267,240.7993878,2,2,0,1.13,2.26,2.26,0,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,,1,42,1,42101,101_117,4210160000,42101038700,2441,,,,,,,,
2446,338470,1,33847001,198.7540053,129.4048678,2,2,0,1.12,2.24,2.24,0,1,9,1,5,0,1,1,,2,1,1,1,42,1,42091,091_410,4209135808,42091200507,11808,40,13,1,10,7,9,3,9,0,3,,1,8,1,2,3,4,5,,,3,,,,,,,,,,,,,,,0,,,,
2447,338470,2,33847002,198.7540053,236.8503589,6,3,3,1.12,6.72,3.36,3.36,2,9,1,2,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0,,,,
2448,338470,3,33847003,198.7540053,356.7333077,3,3,0,1.12,3.36,3.36,0,1,5,1,2,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,1,6,42,1,42017,017_508,4201754192,42017105203,15408,,,,0,,,,
